Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
Premium Trust Bank,Commercial Banks,,,,,,,,,,,,,,,,,
Providus Bank,Commercial Banks,,,,,,,,,,,,,,,,,
Signature Bank Limited,Commercial Banks,Signature Bank Limited,Commercial Bank,Regional,-,01/01/1900,"Plot 31B, Gana Street, Maitama, FCT Abuja",Abuja,ABUJA,XXXXXXXXX,-,-,-,"Plot 31B, Gana Street, Maitama, FCT Abuja",NGN,Domestic,-,04/26/2024
Stanbic IBTC Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
Standard Chartered Bank Nigeria Ltd.,Commercial Banks,Standard Chartered Bank Nigeria Ltd.,Commercial Bank,National,-,01/12/2004,"142 Ahmadu Bello Way, Victoria Island, Lagos.",Victoria Island,LAGOS,"234 01 3262000,2626801-5",www.ng.standardchartered.com,stanchart.info@ng.standardchartered.com,"234 01 2626814,3201659","105B, Ajose Adeogun Street, Victoria Island, Lagos",NGN,-,Standard Chartered Bank,"3rd January, 2006"
Sterling Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
SunTrust Bank Nigeria Limited,Commercial Banks,,,,,,,,,,,,,,,,,
Tatum Bank Limited,Commercial Banks,,,,,,,,,,,,,,,,,
Titan Trust Bank Ltd,Commercial Banks,,,,,,,,,,,,,,,,,
Union Bank of Nigeria Plc,Commercial Banks,,,,,,,,,,,,,,,,,
United Bank For Africa Plc,Commercial Banks,United Bank For Africa Plc,Commercial Bank,International,-,02/01/2006,"57, Marina",Lagos,LAGOS,"(234) 01 2644651 - 700, 4701416, 2642284",www.ubagroup.com,-,(234) 01 2642236,"57, Marina, Lagos",NGN,-,"Standard Trust, UBA, CTB","3rd January, 2006 (previously licensed May 17, 1961)"
Unity Bank Plc,Commercial Banks,Unity Bank Plc,Commercial Bank,National,-,02/01/2006,"Plot 42, Ahmed Onibudo Street, Victoria Island, Lagos.","Central Business District,",ABUJA,(234) 09-4616700-9,www.unitybankng.com,-,(234) 01 2693256,P. O. Box 52463 Lagos State,NGN,Domestic,"New Africa, TCB, Centre-Point,BON,NNB,Intercity,Pa",3rd January 2006
Wema Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
Zenith Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
