Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
CAPRI-MARTINS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CARBON FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CASH-LINK LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CELOX FINANCE & INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Centrum Finance Company Limited,Finance Companies,Centrum Finance Company Limited,Finance Company,National,ALC Finance Limited,18/05/2022,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,Wuse Zone 4,ABUJA,+234 908 8888 198,centrumfinanceltd.com,info@centrumfinanceltd.com,+234 908 8888 198,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,NGN,Domestic,-,03/12/2023
CEVIANT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CFS Financial Services Limited,Finance Companies,CFS Financial Services Limited,Finance Company,-,-,03/07/2007,"Eleganza Building, 15B Wesley/Joseph Street,",-,LAG,01-2600757,-,-,-,"Lagos Island,",NGN,Domestic,-,7/3/2007
CITIHOMES FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CO-LINK INVESTMENT MANAGEMENT COMPANY LIMITED,Finance Companies,CO-LINK INVESTMENT MANAGEMENT COMPANY LIMITED,Finance Company,-,-,03/07/2007,"NO,1 MOTOR WAYS AVENUE, ALAUSA, LAGOS",-,LAG,01-4932202,-,-,-,-,NGN,Domestic,-,7/3/2007
CONSUMER INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CORE CAPITAL LIMITED,Finance Companies,CORE CAPITAL LIMITED,Finance Company,-,-,03/07/2007,"YCMA BUILDING, 77 AWOLOWO ROAD IKOYI, LAGOS",-,LAG,-,-,-,-,"Ikoyi, Lagos",NGN,Domestic,-,7/3/2007
COUNTY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CREDIT DIRECT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CREDITE CAPITAL FINANCE & INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CROWNWISE FINANCE & INVESTMENTS PLC,Finance Companies,,,,,,,,,,,,,,,,,
CRYSTAL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CS ADVANCE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
DE-REAL PEOPLE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
DIGNITY FINANCE LIMITED,Finance Companies,DIGNITY FINANCE LIMITED,Finance Company,-,INTER TRUST LIMITED,23/07/2009,"YOMA PLACE, NO 5 O.P. FINGESI STREET, UTAKO DISTRICT, ABUJA, FCT",Utako District,ABU,09-2905750; 08130030836,-,-,-,-,NGN,Domestic,-,3/13/2009
DOMINION FINANCE LIMITED,Finance Companies,DOMINION FINANCE LIMITED,Finance Company,-,-,03/07/2007,"207 IGBOSERE ROAD, LAGOS ISLAND, LAGOS",Lagos Island,LAG,-,-,-,-,"47/57 Martins Street , Lagos",NGN,-,-,7/3/2007
DYNAMIC FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
E-FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ENCO FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
EVERDEN FINANCIAL SERVICES LTD,Finance Companies,,,,,,,,,,,,,,,,,
EVIB FINANCE COMPANY LIMITED,Finance Companies,EVIB FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"3 Shalom Drivem Patrick Harbour Estate Off Mojisola Onikoyi Estate, Ikoyi Lagos",Ikoyi,LAGOS,08053333585,-,-,-,-,NGN,Domestic,-,08/21/2024
FACTORING & SUPPLY CHAIN FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FAST CREDIT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FEWCHORE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FIDUCIA FINANCE COMPANY LIMITED,Finance Companies,FIDUCIA FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"The Rock Tower, The Rock Drive, Lekki Phase 1, Lagos State",Lekki,LAGOS,08033030836,-,-,-,-,NGN,Domestic,-,07/04/2024
FINANCE AND COMMERCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FINANCIAL DERIVATIVES CO. LTD,Finance Companies,FINANCIAL DERIVATIVES CO. LTD,Finance Company,-,-,03/07/2007,"11A, Goriola Street;",-,LAG,01-2618279; 2622557; 2617429,-,-,-,"P.O. Box 72120, Victoria Island",NGN,Domestic,-,7/3/2007
FIRST CORNERSTONE FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FIRST MARINA TRUST LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FLOBAL FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDIT FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDQUEST FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDSWORTH LIMITED,Finance Companies,FUNDSWORTH LIMITED,Finance Company,-,-,03/07/2007,"6, Louis Solomon Close;",-,LAG,01-4803077; 610782; 2611306,-,-,-,"P.O. Box 74424, Victoria Island",NGN,Domestic,-,7/3/2007
GADOL FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
GDL FINANCE AND LEASING COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GOODGATE FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
GRAND TREASURERS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GREENBOND FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GRIFFIN FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Harmony Breakthrough Finance Company Limited,Finance Companies,Harmony Breakthrough Finance Company Limited,Finance Company,None,-,01/01/1900,"1st Floor Old Kingsway Building Radio Nigeria, Dugbe Ibadan, Oyo State",Ibadan,OYO,+2348022908650,-,-,-,-,NGN,Domestic,-,04/18/2024
HIDDEKEL CAPITAL LTD,Finance Companies,,,,,,,,,,,,,,,,,
INITIATIVE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LECON FINANCIAL SERVICES COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LIGHT HOUSE INVESTMENTS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LUKEFIELD FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MERISTEM FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MEZCREDIT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MIM FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
NEWEDGE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NICHOLE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NOBLESERVE CAPITAL MANAGEMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NOLT FINANCE COMPANY LIMITED,Finance Companies,NOLT FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"Suite 4, First Floor, 11 Awolowo Road, Ikoyi, Lagos State",Ikoyi,LAGOS,081492205557,-,-,-,-,NGN,Domestic,-,06/15/2022
NORTHQUEST FINANCE COMPANY LIMITED,Finance Companies,NORTHQUEST FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"8B Oluwakayode Jacobs Crescent, Lekki Phase 1, Lagos State",Lekki,LAGOS,07070071777 09070071555,-,-,-,-,NGN,Domestic,-,08/13/2024
O3 CAPITAL LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
OKAZI FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
One-Stop Finance Company,Finance Companies,One-Stop Finance Company,Finance Company,None,-,01/01/1900,"No 96 Ogui Road, Enugu, Enugu State",Enugu,ENUGU,+2348036617454,-,-,-,-,NGN,Domestic,-,07/10/2024
OPTICOM LEASING COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ORANGE ONE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
OXYGEN X FINANCE COMPANY LIMITED,Finance Companies,OXYGEN X FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"4th Floor Plot 1665, Oyin Jolayemi Street, Victoria Island Lagos",Victoria Island,LAGOS,08170002422,-,-,-,-,NGN,Domestic,-,06/19/2024
PAGE INTERNATIONAL FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PARADIGM FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PERENNIAL FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PFI FINANCIAL LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PILOT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PREFERRED FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PROSPERIS FINNANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
QUIDPRO FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
QUITS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
REDOAK TRUST AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
RESOLUTION FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROSABON FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL CREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL EXCHANGE FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SAGE GREY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SFS CREDITS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SIMPLE FINANCE LIMTED,Finance Companies,,,,,,,,,,,,,,,,,
SKYSTONE CAPITAL AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SNOW FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SPRING SKY FINANCE COMPANY LIMITED,Finance Companies,SPRING SKY FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"Plot 6, Block 101, Furo Ezimaora Road, Lekki Phase 1, Lagos State",Lekki,LAGOS,07070071777 09070071555,-,-,-,-,NGN,Domestic,-,08/13/2024
STILL EARTH CAPITAL FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
STIRLING TRUST COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SUPRA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TEKLA FACTROING AND FINANCE,Finance Companies,,,,,,,,,,,,,,,,,
THE BROOK FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
THOMAS GILTS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRANSKREDIT FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRINITY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TROPICS FINANCE AND INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
UNIVERSAL INVEST & DEV. CO. LTD,Finance Companies,,,,,,,,,,,,,,,,,
UT FINANCIAL SERVICES NIGERIA LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
VALE FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
VIVA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
WESTWOOD FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Whitecrust Finance Company Limited,Finance Companies,Whitecrust Finance Company Limited,Finance Company,None,-,01/01/1900,"402, Ikorodu Road, By Ojota Bus Stop, Lagos State",Lagos,LAGOS,+2347026198185,-,-,-,-,NGN,Domestic,-,08/29/2024
WOODHALL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
WSTC FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ZEDVANCE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CORONATION MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
FBNQUEST MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
FSDH MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
GREENWICH MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
RAND MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
AACB Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AB Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia SME Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia State University Microfinance Bank Limited,Micro-finance Banks,Abia State University Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Abia State Univ. Community Bank Limited,01/02/2008,"Uturu, Isuikwuato LGA, Abia State",Abia,ABI,-,-,-,-,"P.M.B. 2000, Uturu, Isuikwuato LGA, Abia State",NGN,Domestic,Provisional approval to convert to microfinance bank,2/1/2008
Abigi Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Above Only Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abubakar Tafawa Balewa University (ATBU) Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abucoop Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abulesoro Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Accion Microfinance Bank Limited,Micro-finance Banks,Accion Microfinance Bank Limited,MicroFinance Bank,NATIONAL MFB,-,06/11/2007,"ELIZADE PLAZA, 4TH FLOOR, 322A IKORODU ROAD, ANTHONY, IKEJA, LAGOS",Lagos,LAG,01-2719325-6,-,-,01-2719327,"P.O. Box 1075, Victoria Island",NGN,Domestic,-,11/6/2007
ACE Microfinance Bank Limited,Micro-finance Banks,ACE Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,ACE Community Bank Limited,01/02/2008,"3, Daniel Aliyu Street, Kwali, Abuja",Abuja,ABJ,-,-,-,-,"P.O.Box 011, Kwali, Abuja",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Achina Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
ADA Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Adazi-Enu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Adazi-Nnukwu Microfinance Bank Limited,Micro-finance Banks,Adazi-Nnukwu Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Adazi-Nnukwu Community Bank Limited,01/02/2008,"Near Eke Market, Adazi Nnukwu, Adazi, Anambra State",Anambra,ANA,-,-,-,-,"Near Eke Market, Adazi Nnukwu, Adazi, Anambra Stat",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Addosser Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Adeyemi College Staff Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Afekhafe Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Afemai Microfinance Bank Limited,Micro-finance Banks,Afemai Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Uzairue Community Bank Limited,20/09/2007,"61B, Bode Road, Jattu-Uzairue",Edo,EDO,-,-,-,-,"P.O. Box 30, Jattu-Uzairue, Etsako West LGA",NGN,Domestic,-,9/20/2007
Agosasa Microfinance Bank Limited,Micro-finance Banks,Agosasa Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Agosasa Community Bank Limited,01/02/2008,"5, Ilupeju Estate, Ipokia Road,",Ogun,OGU,-,-,-,-,"Agosasa, Yewa South Local Govt Area",NGN,Domestic,-,2/1/2008
Ahmadu Bello University Microfinance Bank Limited,Micro-finance Banks,Ahmadu Bello University Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Ahmadu Bello University Community Bank Limited,01/02/2008,"Main Campus, Opp. Post Graduate School,",-,KAD,-,-,-,-,"Ahmadu Ballo University Campus, Zaria",NGN,Domestic,-,2/1/2008
Aibio Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ajewole Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ajose Microfinance Bank Limited,Micro-finance Banks,Ajose Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Ajose Community Bank Limited,01/02/2008,"Ejinrin Road, Ijebu South",Ogun,OGU,-,-,-,-,"P.O. Box 806, Ijebu-Ode",NGN,Domestic,-,2/1/2008
Ajuta Microfinance Bank Limited,Micro-finance Banks,Ajuta Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Ogbagi Community Bank Limited,01/02/2008,"Market Road, Loso Quarters, Ogbagi Akoko",Ondo,OND,-,-,-,-,"Market Road, Loso Quarters, Ogbagi Akoko, Ondo State",NGN,Domestic,-,2/1/2008
Akalabo Microfinance Bank Limited,Micro-finance Banks,Akalabo Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Amesi Community Bank Limited,01/02/2008,"Co-operative House, Afor Market Square",Anambra,ANA,8037456842,-,-,-,"Co-operative House, Afor Market Square, Amesi, Aguata LGA, Anambra State",NGN,Domestic,-,2/1/2008
Akokwa Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Akpo Microfinance Bank Limited,Micro-finance Banks,Akpo Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Akpo Community Bank Limited,01/02/2008,"Akpo Junction, Akpo, Aguata LGA, Anambra State",Anambra,ANA,-,-,-,-,"Akpo Junction, Akpo, Aguata LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Aku Diewa Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Akuchukwu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Al-Barakah Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Al-Hayat Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Albasu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Alekun Microfinance Bank Limited,Micro-finance Banks,Alekun Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Alekun Community Bank Limited,01/02/2008,"6, Oladipo Diya Road, Odogbolu",Ogun,OGU,-,-,-,-,"6, Oladipo Diya Road, Odogbolu",NGN,Domestic,-,2/1/2008
Alert Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Algreb Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aliero Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
All Workers Microfinance Bank Limited,Micro-finance Banks,All Workers Microfinance Bank Limited,MicroFinance Bank,STATE MFB,All Workers Community Bank Limited,01/02/2008,"30, MBARI STREET, IKENEGBU LAYOUT, OWERRI, IMO STATE",Owerri,IMO,-,-,-,-,"30, MBARI STREET, IKENEGBU LAYOUT, OWERRI, IMO STATE",NGN,Domestic,-,2/1/2008
Alor Microfinance Bank Limited,Micro-finance Banks,Alor Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Alor Community Bank Limited,01/02/2008,"Nkwor Alor Market Square, Idemili South LGA, Anambra State",Anambra,ANA,-,-,-,-,"Nkwor Alor Market Square, Idemili South LGA, Anambra State",NGN,Domestic,provisional approval to convert to microfinance bank,2/1/2008
Alpha Kapital Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Alvana Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AMAC Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Amazu Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Amegy Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AMJU-Unique Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AMML Microfinance Bank Limited (Abuja Markets Management Ltd),Micro-finance Banks,,,,,,,,,,,,,,,,,
Ampersand Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Ample Microfinance Bank Limited,Micro-finance Banks,Ample Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"Comfort Fatoyinbo House, Ilorin-Kabba Road, Eruku, Kwara State",Eruku,KWARA,+2348055000023,-,-,-,-,NGN,Domestic,-,09/02/2024
Amucha Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Anchorage Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aniocha Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Annointed Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aogo Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Apa Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Apex Trust Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Apple Microfinance Bank Limited,Micro-finance Banks,Apple Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Oru & Ayetoro CBs,01/02/2008,"26, Agbon Street, Oru-Ijebu",Ogun,OGU,-,-,-,-,"26, Agbon Street, Oru-Ijebu, Ogun State",NGN,Domestic,-,2/1/2008
Aramoko Microfinance Bank Limited,Micro-finance Banks,Aramoko Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Aramoko Community Bank Limited,01/02/2008,"Civic Centre, Aramoko Ekiti",Ekiti,EKI,-,-,-,-,"Civic Centre, Aramoko Ekiti State",NGN,Domestic,-,2/1/2008
Aris Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Asha Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Aspire Microfinance Bank LImited,Micro-finance Banks,Aspire Microfinance Bank LImited,MicroFinance Bank,STATE MFB,-,02/05/2008,"No. 254, Umusadegi Road, Kwale",Delta,DEL,8066687070,-,-,-,"No. 254, Umusadegi Road, Kwale, Delta State",NGN,Domestic,Approval-In-Principle granted,5/2/2008
Asset Matrix Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Assets Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Astra Polaris Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Auchi Microfinance Bank Limited,Micro-finance Banks,Auchi Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Auchi Community Bank Limited,01/02/2008,"40, Otaru Road, Auchi",-,EDO,-,-,-,-,"40, Otaru Road, Auchi",NGN,Domestic,-,2/1/2008
Auchi Polytechnic Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AVE MARIA MFB,Micro-finance Banks,AVE MARIA MFB,MicroFinance Bank,TIER 2 UNIT,-,01/01/1900,"NO.16, OKE ASUNNARA, IWERE-ILE IWAJOWA LGA, OYO STATE",OYO STATE,OYO,(239)352-3903,-,-,-,"NO.16, OKE ASUNNARA, IWERE-ILE IWAJOWA LGA, OYO STATE",NGN,Domestic,-,27/10/2022
Avunegbe Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Awe Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
AWESOME MFB,Micro-finance Banks,,,,,,,,,,,,,,,,,
