Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
QUITS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
REDOAK TRUST AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
RESOLUTION FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROSABON FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL CREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL EXCHANGE FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SAGE GREY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SFS CREDITS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SIMPLE FINANCE LIMTED,Finance Companies,,,,,,,,,,,,,,,,,
SKYSTONE CAPITAL AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SNOW FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SPRING SKY FINANCE COMPANY LIMITED,Finance Companies,SPRING SKY FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"Plot 6, Block 101, Furo Ezimaora Road, Lekki Phase 1, Lagos State",Lekki,LAGOS,07070071777 09070071555,-,-,-,-,NGN,Domestic,-,08/13/2024
STILL EARTH CAPITAL FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
STIRLING TRUST COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SUPRA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TEKLA FACTROING AND FINANCE,Finance Companies,,,,,,,,,,,,,,,,,
THE BROOK FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
THOMAS GILTS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRANSKREDIT FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRINITY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TROPICS FINANCE AND INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
UNIVERSAL INVEST & DEV. CO. LTD,Finance Companies,,,,,,,,,,,,,,,,,
UT FINANCIAL SERVICES NIGERIA LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
VALE FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
VIVA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
WESTWOOD FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Whitecrust Finance Company Limited,Finance Companies,Whitecrust Finance Company Limited,Finance Company,None,-,01/01/1900,"402, Ikorodu Road, By Ojota Bus Stop, Lagos State",Lagos,LAGOS,+2347026198185,-,-,-,-,NGN,Domestic,-,08/29/2024
WOODHALL FINANCE COMPANY LIMITED,Finance Companies,WOODHALL FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"22B, Gerrard Road, Ikoyi, Lagos State",Ikoyi,LAGOS,+234414549820,-,-,-,-,NGN,Domestic,-,08/29/2024
WSTC FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ZEDVANCE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
